사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-03,2호선,24,강변(동서울터미널),17,1,"7,602","1,740","25,231","16,953","76,478","22,553","104,787","42,807","71,778","33,927","50,561","32,287","46,628","31,270","46,288","35,425","44,204","40,159","42,297","42,317","43,006","48,974","45,357","55,415","51,409","71,118","58,461","106,766","40,539","78,557","29,187","49,220","25,545","40,341","15,991","49,575","4,428","13,481",2,267,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,25,잠실나루,3,0,"2,882","1,386","10,488","9,419","38,304","21,718","44,502","37,425","26,605","23,470","20,672","16,851","20,052","14,525","19,457","18,035","18,342","18,648","19,875","17,030","21,411","16,698","26,428","17,312","31,266","22,823","30,387","37,790","14,433","29,845","10,097","16,911","7,840","16,413","6,422","19,521","1,547","6,322",0,89,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,26,잠실(송파구청),86,10,"10,681","4,391","42,913","38,424","105,467","71,062","156,194","154,348","111,870","123,477","70,227","80,099","68,675","80,974","76,806","83,722","83,595","89,355","87,040","90,763","95,580","93,967","115,319","109,127","158,578","138,031","196,573","203,010","125,579","144,102","118,310","83,957","98,700","78,640","81,226","89,847","14,467","27,277",12,499,2,2,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,27,잠실새내,9,2,"3,868",777,"14,973","8,228","53,643","17,387","68,831","26,486","40,546","28,099","25,151","21,364","23,504","22,052","25,667","24,758","27,283","27,725","25,186","29,431","26,758","32,975","33,958","38,193","34,776","51,848","38,086","79,463","28,387","56,296","24,539","29,062","28,040","25,349","28,876","30,728","4,644","9,856",2,778,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,28,종합운동장,7,0,"1,485",871,"5,274","5,631","16,556","12,982","22,375","22,789","15,655","10,921","9,778","7,974","8,851","7,171","9,590","8,033","9,237","8,666","8,677","9,607","11,145","9,626","15,019","11,156","14,774","14,252","16,925","23,445","7,883","16,581","5,771","9,540","5,718","10,082","4,333","12,768",814,"3,931",3,284,2,5,0,1,0,0,2021-04-03 10:21:59
2021-03,2호선,29,삼성(무역센터),133,2,"3,963","4,817","6,578","35,735","14,826","121,160","18,639","321,596","19,924","227,321","20,437","93,630","29,679","67,638","37,239","61,015","48,307","69,370","61,057","59,781","76,696","50,773","93,195","47,471","175,544","48,134","286,108","53,952","153,888","30,004","105,568","15,246","92,371","12,533","69,726","13,487","7,738","4,447",0,"1,792",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,30,선릉,44,7,"3,280","6,260","9,745","36,264","20,395","107,173","29,774","274,559","26,947","215,664","30,147","90,985","40,060","62,848","46,867","54,285","57,318","61,253","68,163","55,677","85,418","48,620","120,588","46,383","168,641","50,922","282,147","54,706","141,721","33,894","87,376","18,669","91,346","16,079","82,872","18,845","11,495","6,240",1,70,0,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,31,역삼,50,1,"3,131","7,257","7,683","43,508","14,119","124,128","22,833","331,950","21,840","268,459","21,976","100,500","29,823","60,833","35,833","51,791","43,863","61,303","51,717","52,859","67,983","44,718","91,858","41,929","175,856","47,179","277,463","53,667","141,202","32,705","80,397","17,788","83,990","15,119","67,309","16,863","10,904","6,393",5,9,1,2,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,32,강남,77,3,"5,965","11,488","15,581","50,172","36,460","153,487","58,142","325,012","47,214","320,265","46,279","145,315","63,532","105,538","79,723","102,383","96,866","123,967","105,644","109,371","130,097","103,266","148,775","105,790","225,786","132,722","339,281","179,061","215,342","102,106","163,656","43,431","218,166","34,212","211,822","39,051","24,811","12,771",8,39,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,33,교대(법원.검찰청),32,0,"2,119","7,047","11,477","25,709","24,267","57,409","33,159","158,060","26,818","135,315","25,284","67,316","30,670","52,080","33,989","46,855","41,498","55,619","47,680","50,721","54,212","46,456","61,129","46,584","93,468","53,923","147,068","67,694","69,094","41,830","50,680","22,103","59,162","19,605","55,613","23,071","7,779","7,244",1,34,0,0,0,0,0,0,2021-04-03 10:21:59
